pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,28,0,112,0,,,,,288.0202565829968,289.0201020830136,289.0201020830136,289.0201020830136,289.0201020830136,289.0201020830136,290.0193716250069,290.0193716250069,x,1,0.42413495801156387,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,28,1,113,1,,,,,290.46954316602205,291.46974120801315,291.46974120801315,291.46974120801315,291.46974120801315,291.46974120801315,292.453030958015,292.453030958015,v,1,0.5172584579850081,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,28,2,114,2,,,,,293.0034649580193,294.0036492080253,294.0036492080253,294.0036492080253,294.0036492080253,294.0036492080253,295.0037294580252,295.0037294580252,c,1,0.43073516598087735,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,28,3,115,3,,,,,295.45278362501995,296.4370245000173,296.4370245000173,296.4370245000173,296.4370245000173,296.45319720800035,297.43629262500326,297.43629262500326,z,1,0.4685150829900522,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,29,0,116,0,,,,,297.9366187080159,298.936170416011,298.936170416011,298.936170416011,298.936170416011,298.936170416011,299.93644258301356,299.93644258301356,x,1,0.45245212499867193,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,29,1,117,1,,,,,300.41918608301785,301.4044892080128,301.4044892080128,301.4044892080128,301.4044892080128,301.42001929102116,302.41999891601154,302.41999891601154,v,1,0.6797572920040693,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,29,2,118,2,,,,,303.1199921250227,304.1200535829994,304.1200535829994,304.1200535829994,304.1200535829994,304.1200535829994,305.11974337502033,305.11974337502033,c,1,0.531317457993282,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,29,3,119,3,,,,,305.6701630000025,306.67005604100996,306.67005604100996,306.67005604100996,306.67005604100996,306.67005604100996,307.6706849160255,307.6706849160255,z,1,0.39963724999688566,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,30,0,120,0,,,,,308.1029335409985,309.1027997500205,309.1027997500205,309.1027997500205,309.1027997500205,309.1027997500205,310.0866079580155,310.0866079580155,x,1,0.42433370801154524,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,30,1,121,1,,,,,310.53651966599864,311.520181083004,311.520181083004,311.520181083004,311.520181083004,311.53736270801164,312.5197552080208,312.5197552080208,v,1,0.3729984579840675,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,30,2,122,2,,,,,312.91923158301506,313.90323995801737,313.90323995801737,313.90323995801737,313.90323995801737,313.91977837501327,314.90431254100986,314.90431254100986,c,1,0.37428399999043904,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,30,3,123,3,,,,,315.3031258750125,316.2870113750105,316.2870113750105,316.2870113750105,316.2870113750105,316.30369925001287,317.3035825830011,317.3035825830011,z,1,0.5855825830076355,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,31,0,124,0,,,,,317.9200704579998,318.92032100001234,318.92032100001234,318.92032100001234,318.92032100001234,318.92032100001234,319.90321283301455,319.90321283301455,x,1,0.9843067500041798,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,31,1,125,1,,,,,320.92013191600563,321.9039848750108,321.9039848750108,321.9039848750108,321.9039848750108,321.92095320799854,322.9035352500214,322.9035352500214,v,1,0.4015642080048565,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,31,2,126,2,,,,,323.3368850830011,324.3370401660213,324.3370401660213,324.3370401660213,324.3370401660213,324.3370401660213,325.3367907080101,325.3367907080101,c,1,1.174339291988872,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,31,3,127,3,,,,,326.537114250008,327.5376564580074,327.5376564580074,327.5376564580074,327.5376564580074,327.5376564580074,328.52076191600645,328.52076191600645,z,1,0.5016849590174388,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,32,0,128,0,,,,,329.05377100000624,330.0539296250208,330.0539296250208,330.0539296250208,330.0539296250208,330.0539296250208,331.05419375002384,331.05419375002384,x,1,0.6475668330094777,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,32,1,129,1,,,,,331.72085925002466,332.72146575001534,332.72146575001534,332.72146575001534,332.72146575001534,332.72146575001534,333.70427004102385,333.70427004102385,v,1,0.6221611250075512,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,32,2,130,2,,,,,334.35402825000347,335.337718625,335.337718625,335.337718625,335.337718625,335.35435395801323,336.33720879102475,336.33720879102475,c,1,0.9151532079849858,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,32,3,131,3,,,,,337.27144220800255,338.2545959580166,338.2545959580166,338.2545959580166,338.2545959580166,338.2717270410212,339.2540617909981,339.2540617909981,z,1,0.42171987498295493,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,33,0,132,0,,,,,339.70413070800714,340.7047013330157,340.7047013330157,340.7047013330157,340.7047013330157,340.7047013330157,341.70408554101596,341.70408554101596,x,1,0.45670470799086615,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,33,1,133,1,,,,,342.1874013750057,343.1717639999988,343.1717639999988,343.1717639999988,343.1717639999988,343.1879967080022,344.1719625410042,344.1719625410042,v,1,0.38706891701440327,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,33,2,134,2,,,,,344.58817150001414,345.58774850002374,345.58774850002374,345.58774850002374,345.58774850002374,345.58774850002374,346.5709896250046,346.5709896250046,c,1,0.5705890000099316,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,33,3,135,3,,,,,347.1709877079993,348.17108650002046,348.17108650002046,348.17108650002046,348.17108650002046,348.17108650002046,349.15452408301644,349.15452408301644,z,1,0.5136462499795016,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,34,0,136,0,,,,,349.6876816250151,350.67106570801116,350.67106570801116,350.67106570801116,350.67106570801116,350.6879617910017,351.6714046249981,351.6714046249981,x,1,0.636675958026899,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,34,1,137,1,,,,,352.33791012500296,353.3215093750041,353.3215093750041,353.3215093750041,353.3215093750041,353.3387982910208,354.3214482500043,354.3214482500043,v,1,0.3504608749935869,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,34,2,138,2,,,,,354.6879580000241,355.6885635830113,355.6885635830113,355.6885635830113,355.6885635830113,355.6885635830113,356.68802041601157,356.68802041601157,c,1,0.6618586250115186,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,34,3,139,3,,,,,357.3714257910033,358.37353450001683,358.37353450001683,358.37353450001683,358.37353450001683,358.37353450001683,359.35488237501704,359.35488237501704,z,1,0.6249873750202823,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,35,0,140,0,,,,,360.0048381250235,360.98814695799956,360.98814695799956,360.98814695799956,360.98814695799956,361.00505954099935,361.9880476250255,361.9880476250255,x,1,0.5017110000189859,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,35,1,141,1,,,,,362.5216200830182,363.52177712501725,363.52177712501725,363.52177712501725,363.52177712501725,363.52177712501725,364.5217479999992,364.5217479999992,v,1,0.4717838340147864,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,35,2,142,2,,,,,365.0217279159988,366.0227879580052,366.0227879580052,366.0227879580052,366.0227879580052,366.0227879580052,367.02169833300286,367.02169833300286,c,1,0.386233583005378,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,35,3,143,3,,,,,367.4382025829982,368.4383785829996,368.4383785829996,368.4383785829996,368.4383785829996,368.4383785829996,369.43825591600034,369.43825591600034,z,1,0.7112942090025172,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,36,0,144,0,,,,,370.1716662500112,371.17201825001393,371.17201825001393,371.17201825001393,371.17201825001393,371.17201825001393,372.17161666601896,372.17161666601896,x,1,0.5843839169829153,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,36,1,145,1,,,,,372.7884141250106,373.78932258300483,373.78932258300483,373.78932258300483,373.78932258300483,373.78932258300483,374.78851904100156,374.78851904100156,v,1,0.6016893330088351,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,36,2,146,2,,,,,375.4215037500253,376.4224108750059,376.4224108750059,376.4224108750059,376.4224108750059,376.4224108750059,377.42187970801024,377.42187970801024,c,1,0.4361979590030387,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,36,3,147,3,,,,,377.8889841659984,378.8721232500102,378.8721232500102,378.8721232500102,378.8721232500102,378.888856916019,379.88883037501364,379.88883037501364,z,1,0.5524444170005154,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,37,0,148,0,,,,,380.4719618750096,381.4722992910247,381.4722992910247,381.4722992910247,381.4722992910247,381.4722992910247,382.47213666600874,382.47213666600874,x,1,0.7010582500079181,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,37,1,149,1,,,,,383.2052123750036,384.2057524160191,384.2057524160191,384.2057524160191,384.2057524160191,384.2057524160191,385.1888583750115,385.1888583750115,v,1,0.4651368339837063,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,37,2,150,2,,,,,385.6722883330076,386.65563708302216,386.65563708302216,386.65563708302216,386.65563708302216,386.6729330000235,387.65545345802093,387.65545345802093,c,1,0.560594000009587,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,37,3,151,3,,,,,388.2387220830133,389.2224550000101,389.2224550000101,389.2224550000101,389.2224550000101,389.23932900000364,390.2224102500186,390.2224102500186,z,1,0.39010316698113456,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,38,0,152,0,,,,,390.63876750000054,391.6226788330241,391.6226788330241,391.6226788330241,391.6226788330241,391.63903262501117,392.622472750023,392.622472750023,x,1,0.4487608339986764,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,38,1,153,1,,,,,393.08913654100616,394.0893083749979,394.0893083749979,394.0893083749979,394.0893083749979,394.0893083749979,395.0721321660094,395.0721321660094,v,1,0.45506854201084934,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,38,2,154,2,,,,,395.5556029580184,396.5392775410146,396.5392775410146,396.5392775410146,396.5392775410146,396.55607800002326,397.53907058300683,397.53907058300683,c,1,0.41166529202018864,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,38,3,155,3,,,,,397.9726100410044,398.97281887501595,398.97281887501595,398.97281887501595,398.97281887501595,398.97281887501595,399.95589275000384,399.95589275000384,z,1,0.47572541699628346,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,39,0,156,0,,,,,400.4559800410061,401.4561205000209,401.4561205000209,401.4561205000209,401.4561205000209,401.4561205000209,402.45609470800264,402.45609470800264,x,1,0.4659211249963846,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,39,1,157,1,,,,,402.9396500410221,403.923140791012,403.923140791012,403.923140791012,403.923140791012,403.93984454101883,404.92305245800526,404.92305245800526,v,1,0.41479341601370834,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,39,2,158,2,,,,,405.35645900000236,406.3395697500091,406.3395697500091,406.3395697500091,406.3395697500091,406.35656466599903,407.3396303750051,407.3396303750051,c,1,0.33152208299725316,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
